elevation,slpd,etpjd,minda,mindd,preca,precd,relha,relhd,sfmmd,tavea,tdaya,tmaxd,tmina,tmind,vpama,vpamd,road_dist,trail_dist,merge_dist,VETH
5306,0.31,0.62922427,-6.887724014,-26.49503968,17.50985663,-7.25874936,18.00241936,-1.615706605,261.2603495,23.20654122,28.10681004,21.81862519,0.021863799,13.43241167,21.13575269,6.196498976,132,418,132,0
5846,7.52,0.580824373,-1.603315412,-26.03693676,19.63028674,-8.303334613,18.46774194,-1.628181004,274.4499744,20.43664875,25.10008961,21.30880056,-1.5890681,13.15601639,20.37903226,5.892556324,430,2932,430,0
5825,22.11,0.506810036,1.936738351,-23.75419227,19.58978495,-8.26781234,18.46496416,-1.630958781,285.2069637,20.42016129,25.08369176,21.30324501,-1.597311828,13.153149,20.3734767,5.887000768,202,2548,202,0
5591,12.55,0.588184844,-3.792204301,-25.96632744,18.85806452,-7.982725294,18.25,-1.633262929,257.6156746,21.76442652,26.53951613,21.55737327,-0.775537634,13.27905146,20.74919355,6.033352535,93,2165,93,0
5481,18.87,0.604672299,-5.511379928,-26.20568996,18.30286738,-7.719399642,18.12482079,-1.624494368,244.9212622,22.58351255,27.41577061,21.69869432,-0.28844086,13.35656042,20.98602151,6.128526626,248,1384,248,0
5208,0.79,0.626446493,-6.828225806,-26.58981695,17.65268817,-7.436859959,17.96433692,-1.615687404,262.2355735,23.57383513,28.48781362,21.88289171,0.301971326,13.44774066,21.26370968,6.239720942,226,816,226,0
5115,2.14,0.62922427,-7.27983871,-26.48954813,17.2844086,-7.253257808,17.88548387,-1.61546979,264.6232463,24.03378136,28.99390681,21.96838838,0.560573477,13.49608295,21.3889785,6.291186636,27,469,27,0
5138,1.36,0.626446493,-7.161021505,-26.40076805,17.31989247,-7.24781106,17.91003584,-1.612602407,264.3036802,23.87858423,28.82786738,21.94180108,0.459856631,13.48010113,21.33727599,6.272209421,5,538,5,0
5186,2.1,0.626446493,-7.144713262,-26.39550051,17.33620072,-7.242543523,17.93700717,-1.623553507,263.6255312,23.74265233,28.68100358,21.92039171,0.364605735,13.47227343,21.29901434,6.247855863,116,474,116,0
5270,2.06,0.62922427,-7.108602151,-26.48695597,17.45564516,-7.250665643,17.9781362,-1.615508193,261.0516705,23.34802867,28.25922939,21.84818868,0.114426523,13.44023938,21.17670251,6.212788018,118,481,118,0
5313,0.9,0.626536098,-7.134946237,-26.40892857,17.51263441,-7.255971582,18.01066308,-1.618394777,259.4720494,23.18207885,28.07150538,21.81882361,0.005645161,13.4296339,21.13306452,6.193810804,21,396,21,0
5834,8,0.577272145,-2.363351254,-25.8468894,19.3702509,-8.196620584,18.39426523,-1.622875064,271.2974782,20.88557348,25.58978495,21.38894009,-1.311648746,13.19600614,20.50412186,5.938466462,338,2720,338,0
5584,4.23,0.607270865,-4.45672043,-26.50836534,18.77688172,-7.941429852,18.24184588,-1.627329749,265.4950077,21.88960574,26.67284946,21.57322709,-0.696684588,13.29245392,20.78996416,6.049929596,134,2130,134,0
5488,3.98,0.604493088,-4.717293907,-26.26053507,18.43297491,-7.776932924,18.16827957,-1.635733487,267.1180108,22.33853047,27.15716846,21.66132233,-0.430017921,13.33541987,20.91783154,6.093061956,422,1547,422,0
5243,3.64,0.62624808,-6.950985663,-26.66114951,17.77992832,-7.508192524,17.98611111,-1.621262161,255.4483935,23.46227599,28.37069893,21.8671275,0.250268817,13.43711598,21.23915771,6.226100871,167,1149,167,0
5195,5.98,0.615424987,-5.925716846,-26.20443548,17.55788531,-7.3875,17.95609319,-1.621063748,271.9968382,23.65833333,28.58575269,21.90174091,0.353763441,13.46125192,21.29363799,6.247855863,238,701,238,0
5131,1.23,0.637378392,-7.532437276,-26.72315028,17.28181004,-7.236859959,17.90430108,-1.617869944,263.4333909,23.96299283,28.91505376,21.96056068,0.514336918,13.49647978,21.3671147,6.283230927,35,457,35,0
5159,1.59,0.629134665,-7.279569892,-26.45117768,17.28467742,-7.214887353,17.90994624,-1.612692012,263.4706157,23.83781362,28.78172043,21.93366616,0.419086022,13.48012033,21.32365591,6.266941884,41,474,41,0
5240,2.74,0.626446493,-7.063261649,-26.39516129,17.41765233,-7.242204301,17.9561828,-1.61828597,261.9133705,23.48413979,28.40331541,21.87228623,0.201433692,13.45373144,21.209319,6.228987455,209,455,209,0
5297,1.86,0.626536098,-7.15672043,-26.40633001,17.49086022,-7.253373016,17.99166667,-1.613018433,259.7867768,23.23924731,28.14489247,21.82684972,0.040949821,13.43221326,21.14399642,6.201766513,113,408,113,0
5281,2.81,0.634402202,-7.625268817,-26.56580261,17.35564516,-7.162845622,17.98342294,-1.621082949,255.3794611,23.2718638,28.18028674,21.83478623,0.043637993,13.44583333,21.14946237,6.201856119,90,600,90,0
5240,6.09,0.615424987,-6.506003584,-25.88921531,17.14426523,-7.072279826,17.93163082,-1.606957245,269.2563172,23.56577061,28.49605735,21.89093702,0.212455197,13.47281746,21.22293907,6.237231183,39,355,39,0
5255,4.71,0.615424987,-6.576433692,-25.83996416,17.07383513,-7.023028674,17.92625448,-1.606957245,270.2348822,23.57939068,28.52320789,21.89360599,0.212455197,13.4781938,21.22562724,6.239919355,67,123,67,0
5156,5.02,0.626446493,-7.683333333,-26.05258577,16.79758065,-6.899628776,17.85573477,-1.601740911,263.10585,23.90322581,28.87150538,21.96047107,0.381182796,13.50766769,21.30743728,6.275096006,39,543,39,0
5826,7.86,0.574583973,-2.20421147,-25.79621096,19.44605735,-8.229275474,18.41326165,-1.628072197,272.5291411,20.76577061,25.45922939,21.36770993,-1.385125448,13.18798003,20.47688172,5.925134409,342,2775,342,0
5676,13.75,0.574583973,-2.228494624,-25.64542371,19.08844086,-8.078488223,18.32356631,-1.6281234,273.5565668,21.36451613,26.10958781,21.4797043,-1.020430108,13.23886329,20.64301075,5.989932156,0,2331,0,0
5485,5.27,0.604493088,-4.736290323,-26.2468062,18.4139785,-7.763204045,18.16299283,-1.627291347,267.3163915,22.36586022,27.18709677,21.66676907,-0.416308244,13.33522145,20.9233871,6.098617512,382,1481,382,0
5225,2.93,0.620890937,-6.330913978,-26.41508577,17.65268817,-7.431483615,17.97526882,-1.62375192,266.411988,23.54130824,28.45788531,21.87753456,0.277598566,13.44516129,21.25564516,6.231656426,288,733,288,0
5120,2.47,0.62922427,-7.306989247,-26.48397337,17.25725807,-7.247683052,17.88548387,-1.61546979,264.7012417,24.06908602,29.02383513,21.97921147,0.584946237,13.49626216,21.39713262,6.293964414,6,400,6,0
5142,1.06,0.631912442,-7.51344086,-26.55917179,17.30080645,-7.239548131,17.91272401,-1.609914235,262.700352,23.8812724,28.82786738,21.94180108,0.457168459,13.48547747,21.33996416,6.274897593,80,525,80,0
5228,3.26,0.629134665,-7.015232975,-26.47569764,17.38234767,-7.239407322,17.95080645,-1.61828597,262.9387033,23.56039427,28.48781362,21.88566948,0.250448029,13.46166795,21.24202509,6.234344598,258,415,258,0
5278,1.46,0.626536098,-7.183781362,-26.40084485,17.46379928,-7.247887865,17.97526882,-1.607264465,260.4544419,23.31272401,28.22114695,21.84283154,0.089874552,13.44034818,21.16030466,6.212698413,142,422,142,0
5309,1.28,0.626536098,-7.129480287,-26.40346262,17.51810036,-7.250505632,18.00241936,-1.61015105,258.5084549,23.13584229,28.03879928,21.80791091,-0.01890681,13.4297427,21.1139785,6.191033026,21,388,21,0
5285,2.81,0.634402202,-7.625268817,-26.56580261,17.35564516,-7.162845622,17.98342294,-1.621082949,255.3794611,23.2718638,28.18028674,21.83478623,0.043637993,13.44583333,21.14946237,6.201856119,120,573,120,0
5188,4.21,0.623668715,-7.012096774,-26.09820789,17.05483871,-7.031272401,17.91281362,-1.604448285,267.7476255,23.66917563,28.61836918,21.90947901,0.272311828,13.48353175,21.25295699,6.250652842,57,221,57,0
5233,10.48,0.60171531,-5.761290323,-25.44242192,17.1389785,-7.042153098,17.93736559,-1.598892729,270.247299,23.45958781,28.38709677,21.86662186,0.136290323,13.46210318,21.18763441,6.229096262,40,184,40,0
5060,0.25,0.63717998,-8.613620072,-26.21575781,16.45062724,-6.729467486,17.7875448,-1.606701229,262.0902266,24.32768817,29.33405018,22.03783282,0.623387097,13.55352023,21.42168459,6.318516385,138,993,138,0
5073,2.56,0.631912442,-8.196774194,-26.04084741,16.45080645,-6.721223758,17.79041219,-1.595769329,266.2205261,24.23790323,29.23888889,22.02176139,0.552688172,13.54289555,21.38637993,6.310560676,74,1563,74,0
5075,3.37,0.631912442,-8.19937276,-26.03000512,16.44820789,-6.710381464,17.78763441,-1.598547107,265.2367064,24.23512545,29.22786738,22.01371608,0.549910394,13.54011777,21.38360215,6.307782898,46,1869,46,0
5789,10.43,0.566628264,-1.37078853,-25.54074501,19.44614695,-8.223809524,18.42956989,-1.630760369,279.7687404,20.73324373,25.41845878,21.36772914,-1.404121864,13.18271249,20.46594982,5.919578853,230,2622,230,0
5512,3.11,0.607270865,-5.219444444,-26.37681132,18.51415771,-7.809875832,18.1874552,-1.618958013,263.058615,22.22437276,27.0374552,21.64009217,-0.498028674,13.32450717,20.88530466,6.093260369,467,1765,467,0
5470,13.73,0.607360471,-5.37921147,-26.30545955,18.35439068,-7.738524066,18.15743728,-1.632558884,252.0223502,22.48010753,27.3015233,21.68541987,-0.348387097,13.34862391,20.95878136,6.112039171,350,1415,350,0
5205,1.66,0.62922427,-7.075537634,-26.67046211,17.65537634,-7.434171787,17.9671147,-1.618465182,260.127317,23.55215054,28.47410394,21.88300051,0.296505376,13.45062724,21.26370968,6.239720942,289,904,289,0
5109,1.35,0.631912442,-7.417473118,-26.55635561,17.23010753,-7.236731951,17.88270609,-1.615092166,263.8719342,24.12087814,29.08915771,21.99001536,0.62311828,13.50410906,21.42437276,6.307763697,55,392,55,0
5148,1.06,0.631912442,-7.51344086,-26.55917179,17.30080645,-7.239548131,17.91272401,-1.609914235,262.700352,23.8812724,28.82786738,21.94180108,0.457168459,13.48547747,21.33996416,6.274897593,50,526,50,0
5243,2.74,0.626446493,-7.063261649,-26.39516129,17.41765233,-7.242204301,17.9561828,-1.61828597,261.9133705,23.48413979,28.40331541,21.87228623,0.201433692,13.45373144,21.209319,6.228987455,267,396,267,0
5302,1.77,0.626536098,-7.132258065,-26.41459293,17.51532258,-7.261635945,18.00510753,-1.618394777,259.4649386,23.19569893,28.09327957,21.81891321,0.016487455,13.43241167,21.13306452,6.193810804,180,341,180,0
5306,2.46,0.629025858,-7.358422939,-26.45673963,17.45582437,-7.220449309,17.99426523,-1.623860727,255.9461662,23.21200717,28.11505376,21.8296467,0.019175627,13.4297235,21.13306452,6.193810804,65,387,65,0
5280,5.84,0.634491808,-8.039964158,-26.53017153,17.27428315,-7.127214542,17.96182796,-1.596223758,250.8722094,23.36980287,28.28369176,21.85632361,0.103584229,13.45674603,21.17401434,6.22640809,155,598,155,0
5190,4.67,0.620980543,-6.756630824,-26.00643241,17.06030466,-7.022830261,17.90743728,-1.598783922,270.9420635,23.64740143,28.58575269,21.90689964,0.247849462,13.47548643,21.23396057,6.242697133,19,101,19,0
5146,5.02,0.626446493,-7.683333333,-26.05258577,16.79758065,-6.899628776,17.85573477,-1.601740911,263.10585,23.90322581,28.87150538,21.96047107,0.381182796,13.50766769,21.30743728,6.275096006,89,545,89,0
5079,1.13,0.63717998,-8.422401434,-26.22393113,16.47517921,-6.737640809,17.79578853,-1.601145673,263.2200013,24.24336918,29.24157706,22.01898362,0.563620072,13.54547491,21.39731183,6.316116231,45,1264,45,0
5072,2.56,0.631912442,-8.196774194,-26.04084741,16.45080645,-6.721223758,17.79041219,-1.595769329,266.2205261,24.23790323,29.23888889,22.02176139,0.552688172,13.54289555,21.38637993,6.310560676,40,1534,40,0
4998,2.21,0.645334101,-9.38234767,-26.27919867,16.09856631,-6.542908346,17.72508961,-1.603993856,259.4994048,24.57258065,29.61164875,22.08027394,0.729569893,13.58052355,21.47356631,6.348425499,223,2046,223,0
4956,0.68,0.648111879,-9.870967742,-26.25554916,15.85994624,-6.435925499,17.68691756,-1.597932668,260.0649194,24.87464158,29.92732975,22.13929212,0.890143369,13.61019585,21.55519713,6.381201997,80,1793,80,0
4819,6.19,0.645423707,-10.14677419,-25.93616871,15.33413979,-6.199878392,17.55376344,-1.592409114,262.5032258,25.47329749,30.59668459,22.25693164,1.222222222,13.66358807,21.71048387,6.451753712,204,1405,204,0
5704,9.18,0.593849206,-3.683154122,-26.21223118,19.05044803,-8.061962366,18.31810036,-1.630433948,266.0899322,21.43790323,26.18557348,21.487532,-0.968817204,13.24133385,20.66478495,5.995577317,62,2440,62,0
5546,3.61,0.604493088,-4.766308244,-26.40035202,18.71729391,-7.916749872,18.22831541,-1.622043011,262.869438,21.96845878,26.7625448,21.58652074,-0.642293907,13.29512289,20.81451613,6.060573477,309,1966,309,0
5470,5.27,0.604493088,-4.809498208,-26.2249936,18.34077061,-7.741391449,18.1547491,-1.629870712,267.1504992,22.49641577,27.31783154,21.68253328,-0.334677419,13.34602535,20.96424731,6.112128776,415,1466,415,0
5200,2.67,0.62624808,-7.051164875,-26.59548131,17.6797491,-7.442524322,17.98333333,-1.620884537,258.2650218,23.51129032,28.42526882,21.87784178,0.266666667,13.44516129,21.25286738,6.234434204,319,837,319,0
5109,1.06,0.634491808,-7.750806452,-26.63968894,17.23010753,-7.236731951,17.88826165,-1.620647721,261.0952445,24.12087814,29.08915771,21.99001536,0.625896057,13.50133129,21.42715054,6.304985919,83,364,83,0
5138,1.61,0.63469022,-7.613082437,-26.64250512,17.28449821,-7.239548131,17.89641577,-1.612602407,262.6932604,23.93315412,28.8796595,21.95251536,0.489874552,13.48545827,21.35636201,6.280542755,61,440,61,0
5200,1.81,0.626446493,-7.155555556,-26.37046211,17.32535842,-7.21750512,17.93449821,-1.612800819,263.3065668,23.67724014,28.61021505,21.90709805,0.318369176,13.46951485,21.27741936,6.25343062,267,356,267,0
5260,2.96,0.626446493,-6.850537634,-26.40899898,17.46370968,-7.256041987,17.9781362,-1.615508193,261.6231631,23.33996416,28.25107527,21.84827829,0.114426523,13.44023938,21.17670251,6.212788018,267,363,267,0
5314,2.09,0.62624808,-7.191218638,-26.41996928,17.53969534,-7.267012289,18.00510753,-1.612839222,256.9319637,23.13315412,28.02795699,21.8108871,-0.02437276,13.42427675,21.10851255,6.185567076,54,282,54,0
5281,1.66,0.62624808,-7.369892473,-26.31580261,17.36102151,-7.162845622,17.9889785,-1.612730415,257.8052291,23.23933692,28.15035842,21.82933948,0.030107527,13.4406554,21.14399642,6.204742704,183,588,183,0
5199,4.13,0.629134665,-7.442921147,-26.20698285,16.9546595,-6.970692524,17.89919355,-1.604448285,263.7692268,23.71550179,28.67007169,21.92565924,0.29139785,13.49168587,21.26657706,6.258896569,27,123,27,0
5157,5.54,0.629134665,-7.518817204,-26.17423835,16.87876344,-6.937948029,17.88297491,-1.606829237,264.8424091,23.82150538,28.78163082,21.93624552,0.35125448,13.49971198,21.2938172,6.264452125,75,343,75,0
5085,2.67,0.642645929,-8.701612903,-26.42074373,16.52930108,-6.767786738,17.81756272,-1.611987967,259.1512545,24.22428315,29.22517921,22.01362647,0.571684588,13.53454301,21.40268817,6.307872504,222,936,222,0
5066,2.97,0.637378392,-8.509856631,-26.13607271,16.30439068,-6.649782386,17.77132617,-1.603923451,264.2198541,24.37930108,29.39390681,22.04585894,0.634318996,13.55907578,21.42992832,6.326760113,6,1803,6,0
4995,3.68,0.648111879,-9.353225806,-26.33785202,16.04435484,-6.518228367,17.72249104,-1.600928059,259.7027906,24.63790323,29.67150538,22.093766,0.765053763,13.58865847,21.49265233,6.356758833,289,2053,289,0
4885,5.81,0.648111879,-10.13109319,-26.1375256,15.59982079,-6.317901946,17.62706093,-1.600691244,258.7126664,25.15752688,30.24569893,22.1953341,1.050716846,13.63689196,21.63145161,6.416378648,144,1530,144,0
4743,1.15,0.656266001,-10.9531362,-26.12402074,15.02777778,-6.054397081,17.51021505,-1.594879672,261.8787762,25.79713262,30.93951613,22.315553,1.399103943,13.69881592,21.79489247,6.484152586,45,948,45,0
4736,2.34,0.656266001,-10.98019713,-26.10760369,15.00071685,-6.037980031,17.50483871,-1.600256016,261.7983679,25.78082437,30.93682796,22.31824117,1.380107527,13.69326037,21.78951613,6.478776242,269,565,269,0
4684,1.81,0.661911162,-11.78924731,-26.12312468,14.69166667,-5.886834357,17.45026882,-1.591884281,258.8909882,26.07750896,31.26621864,22.37437276,1.52983871,13.72839862,21.86299283,6.514151306,96,560,96,0
5773,7.45,0.580139529,-2.678405018,-25.90265617,19.30519713,-8.169054019,18.37795699,-1.633806964,270.8940924,21.02168459,25.73682796,21.41850358,-1.221774194,13.20652202,20.5531362,5.954755504,236,2704,236,0
5602,8.35,0.599315156,-4.055734767,-26.29677419,18.84453405,-7.97983871,18.25537634,-1.635951101,267.3176203,21.7780466,26.55842294,21.55179852,-0.762007168,13.27358551,20.75994624,6.030664363,105,2257,105,0
5457,5.27,0.604493088,-4.809498208,-26.2249936,18.34077061,-7.741391449,18.1547491,-1.629870712,267.1504992,22.49641577,27.31783154,21.68253328,-0.334677419,13.34602535,20.96424731,6.112128776,434,1459,434,0
5201,2.74,0.626446493,-6.885125448,-26.55707245,17.59578853,-7.404115463,17.96702509,-1.62375192,261.6706925,23.61747312,28.53682796,21.8938044,0.326523298,13.45329621,21.27732975,6.245276498,353,798,353,0
5145,1.35,0.63469022,-7.599551971,-26.63972734,17.29802867,-7.236770353,17.91541219,-1.612602407,261.7285906,23.8812724,28.82795699,21.94448925,0.465322581,13.48556708,21.34274194,6.277675371,24,461,24,0
5240,3.44,0.626446493,-6.921146953,-26.38698797,17.39310036,-7.234030978,17.95887097,-1.618177163,263.8603623,23.51137993,28.43333333,21.8749552,0.225896057,13.45353303,21.22831541,6.231675627,333,332,332,0
5304,1.99,0.626536098,-7.116039427,-26.42274706,17.53154122,-7.269790067,18.01066308,-1.618394777,259.1185868,23.18207885,28.07688172,21.81882361,0.011021505,13.42694573,21.13306452,6.193810804,236,288,236,0
5308,0.87,0.626536098,-7.134856631,-26.40077445,17.51272401,-7.24781746,18.0077957,-1.61015105,259.3263505,23.13315412,28.03073477,21.8108871,-0.01890681,13.4297427,21.1139785,6.191033026,4,282,4,1
5306,0.87,0.626536098,-7.134856631,-26.40077445,17.51272401,-7.24781746,18.0077957,-1.61015105,259.3263505,23.13315412,28.03073477,21.8108871,-0.01890681,13.4297427,21.1139785,6.191033026,26,293,26,1
5312,3.92,0.62624808,-7.570430108,-26.37333589,17.4938172,-7.220378904,18.00528674,-1.61312724,253.1832757,23.0733871,27.96541219,21.79470686,-0.070519713,13.42727215,21.08960574,6.180101127,208,466,208,0
5202,2.59,0.626446493,-7.299910394,-26.15121608,17.01433692,-6.998259089,17.9046595,-1.6015617,266.0839222,23.65555556,28.60215054,21.90967742,0.256003584,13.48364055,21.23933692,6.248073477,68,127,68,0
5151,1.96,0.634600614,-7.881899642,-26.31613543,16.84901434,-6.913178443,17.86926523,-1.607206861,263.0596454,23.87051971,28.83342294,21.94964798,0.375716846,13.50220174,21.3046595,6.272318228,115,437,115,0
5083,2.67,0.642645929,-8.701612903,-26.42074373,16.52930108,-6.767786738,17.81756272,-1.611987967,259.1512545,24.22428315,29.22517921,22.01362647,0.571684588,13.53454301,21.40268817,6.307872504,227,969,227,0
5068,1.77,0.634600614,-8.32078853,-26.1077637,16.41012545,-6.704806708,17.79301075,-1.600947261,264.5958013,24.28413979,29.29605735,22.02423195,0.585394265,13.54825269,21.40815412,6.313338454,24,1657,24,0
5000,3.68,0.648111879,-9.353225806,-26.33785202,16.04435484,-6.518228367,17.72249104,-1.600928059,259.7027906,24.63790323,29.67150538,22.093766,0.765053763,13.58865847,21.49265233,6.356758833,283,2011,283,0
4920,6.41,0.642645929,-9.837007168,-26.0312596,15.72724014,-6.378302611,17.64632617,-1.597913466,259.3855095,25.00259857,30.07428315,22.16865719,0.958243728,13.62091014,21.58521505,6.391935484,25,1631,25,0
4764,3.18,0.656266001,-11.01953405,-26.16809396,15.1280466,-6.098470302,17.53458781,-1.597388633,259.5163403,25.68557348,30.82258065,22.29959037,1.350089606,13.68790323,21.77302867,6.476196877,15,1164,15,0
4747,1.91,0.653577829,-10.72213262,-26.02695853,15.00878136,-6.040668203,17.50483871,-1.600256016,263.8167947,25.78082437,30.93682796,22.31824117,1.380107527,13.69326037,21.78951613,6.478776242,335,633,335,0
4693,1.37,0.659043779,-11.47697133,-26.07013569,14.75394265,-5.917178699,17.46657706,-1.589016897,260.5875448,26.00672043,31.18181004,22.36376728,1.486290323,13.71757553,21.84390681,6.505997184,9,482,9,0
4541,6.37,0.664311316,-12.59856631,-25.91269841,14.04901434,-5.593074757,17.32231183,-1.58578469,257.2248656,26.76326165,32.01182796,22.51901562,1.894623656,13.79281234,22.04265233,6.590258577,142,931,142,0
4429,3.58,0.669866872,-13.12589606,-25.91735791,13.68835125,-5.431067588,17.25985663,-1.576945725,261.1279634,27.18772401,32.47983871,22.59091142,2.128673835,13.83051075,22.1625448,6.639324117,415,1311,415,0
4298.5,2.06,0.669975678,-13.28001792,-25.70823093,13.28422939,-5.221940604,17.20268817,-1.582859703,265.0288146,27.48718638,32.81191756,22.66075269,2.278315412,13.86824757,22.23879928,6.674321557,525,1810,525,0
5751,8.75,0.580139529,-2.675716846,-25.90534434,19.30788531,-8.171742192,18.38602151,-1.639183308,269.0402138,21.00797491,25.71227599,21.42110215,-1.235483871,13.20672043,20.54767025,5.949289555,181,2641,181,0
5568,5.01,0.601804916,-4.327956989,-26.3280594,18.7389785,-7.927790579,18.23369176,-1.627707373,268.721851,21.95215054,26.73539427,21.58403098,-0.658602151,13.29781106,20.81451613,6.060573477,207,2134,207,0
5473,3.88,0.607270865,-5.273566308,-26.35759729,18.46003584,-7.790661802,18.17105735,-1.632955709,263.8051459,22.31129032,27.12992832,21.65885177,-0.449014337,13.32986431,20.9124552,6.093061956,572,1601,572,0
5198,2.73,0.626446493,-6.947401434,-26.52941628,17.53351255,-7.376459293,17.95609319,-1.618087558,263.2640553,23.69363799,28.62114695,21.91534178,0.378136201,13.45845494,21.29910394,6.253321813,404,703,404,0
5126,5.95,0.634491808,-7.688620072,-26.66983487,17.29229391,-7.26687788,17.88539427,-1.61000384,259.4613095,24.06917563,29.02392473,21.97921147,0.593189964,13.49597414,21.40259857,6.299430364,232,467,232,0
5120,2.25,0.626446493,-7.210035842,-26.39239631,17.27087814,-7.239439324,17.89086022,-1.618157962,264.7962238,24.02284946,28.98306452,21.97405274,0.560573477,13.49608295,21.3889785,6.291186636,72,277,72,0
5157,0.75,0.63171403,-7.602240143,-26.55370584,17.2953405,-7.234082181,17.91272401,-1.609914235,261.1141193,23.86236559,28.80896057,21.94439964,0.446326165,13.48001152,21.33458781,6.274897593,59,418,59,0
5198,1.81,0.626446493,-7.155555556,-26.37046211,17.32535842,-7.21750512,17.93449821,-1.612800819,263.3065668,23.67724014,28.61021505,21.90709805,0.318369176,13.46951485,21.27741936,6.25343062,323,296,296,0
5259,2.96,0.626446493,-6.850537634,-26.40899898,17.46370968,-7.256041987,17.9781362,-1.615508193,261.6231631,23.33996416,28.25107527,21.84827829,0.114426523,13.44023938,21.17670251,6.212788018,317,303,303,0
5309,2.13,0.626536098,-7.113261649,-26.41996928,17.534319,-7.267012289,18.01326165,-1.615437788,258.1257169,23.16299283,28.05510753,21.81346646,-0.002688172,13.42983231,21.12750896,6.193810804,273,223,223,0
