p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,lr1,lr2,lr3,lr4,lr5,lr6
0.9974,1.2396,1.3833,1.4825,1.5704,1.6564,1.8124,2.0888,2.0232,1.9635,1.9055,1.8478,1.7965,1.7505,1.7076,1.6684,1.638,1.6056,1.578,1.5554,398.88,-0.0211,-0.679392658,-0.660875727,0.417761069,-0.170017522,0.011715083,-0.389521194
0.8396,1.1008,1.2394,1.3428,1.4097,1.4721,1.5216,1.5736,1.624,1.6826,1.7573,1.8675,2.0027,1.9769,1.9333,1.8847,1.8454,1.8045,1.7704,1.7368,400.09,-0.0009,-1.582262502,-0.9258342,-0.863317047,-2.332156572,-2.402667586,-2.498996607
0.8466,1.1105,1.2534,1.3472,1.4256,1.501,1.5473,1.6107,1.6798,1.7855,1.9675,2.0142,1.9691,1.9253,1.8783,1.839,1.7998,1.7631,1.7252,1.6947,400.2,-0.0053,-1.274925319,-1.023872821,-0.863317047,-1.97643436,-1.681561308,-1.893989668
0.8503,1.108,1.2601,1.3617,1.4384,1.5061,1.5834,1.6585,1.7639,1.9897,2.0391,1.9896,1.9372,1.8952,1.8472,1.8096,1.772,1.7377,1.6992,1.674,401.78,0.005,-1.100987383,-1.218690603,-0.817398543,-1.162938405,-1.447043947,-1.35783527
0.8807,1.1523,1.3165,1.4345,1.549,1.6963,2.1544,2.0969,2.0444,1.9834,1.9343,1.8898,1.8387,1.7988,1.7626,1.7247,1.6921,1.6627,1.6385,1.608,399.53,-0.0102,-0.097476194,-0.211151105,0.544676869,0.869409068,1.165563187,1.008994593
0.8802,1.1631,1.3222,1.4534,1.5821,1.7665,2.1437,2.0793,2.0267,1.9734,1.9272,1.8787,1.8334,1.794,1.754,1.7154,1.6855,1.6559,1.6244,1.603,397.87,-0.0045,0.171476279,-0.163204776,0.89791405,1.22524007,1.165563187,0.955102682
0.895,1.1734,1.3405,1.4856,1.6411,2.1835,2.1186,2.0588,2.0043,1.9517,1.9102,1.8597,1.8209,1.7783,1.7376,1.707,1.6702,1.6451,1.6161,1.593,401.53,-0.0225,0.552273485,0.037415724,1.277230472,1.915338458,1.767086624,1.736592185
0.8623,1.1358,1.2905,1.4008,1.5012,1.5999,1.723,2.1108,2.0651,2.0124,1.9466,1.8919,1.8403,1.7951,1.7488,1.7103,1.6743,1.6413,1.6091,1.5849,400.2,0.38,1.179552495,1.298837384,0.176334131,-0.032425641,-0.096674251,0.194331031
0.8638,1.1398,1.2921,1.4028,1.4964,1.5945,1.7211,2.1,2.0603,2.003,1.9411,1.8899,1.8358,1.7882,1.7444,1.7011,1.6688,1.634,1.6032,1.5802,401.72,0.5017,1.377231352,1.460182851,0.126314031,0.092200199,0.011715083,-0.227342178
0.8628,1.1354,1.2927,1.4008,1.4983,1.6011,1.7181,2.1034,2.0644,2.0014,1.9413,1.8857,1.8334,1.7831,1.7403,1.7011,1.6639,1.6323,1.6034,1.5769,400.22,0.5991,1.662509045,1.743722302,0.053035111,-0.011636855,0.011715083,0.070003159
0.8622,1.1355,1.2907,1.3959,1.4976,1.5966,1.7185,2.0985,2.0678,2.0008,1.9375,1.882,1.8256,1.7781,1.7339,1.6935,1.6568,1.6238,1.5972,1.5736,400.04,0.7875,2.107394108,2.090478062,-0.048752124,0.089069847,0.226688911,0.228089275
0.8645,1.1369,1.2938,1.3982,1.4959,1.5931,1.7257,2.0956,2.0587,1.9959,1.9358,1.8749,1.8252,1.7719,1.7278,1.689,1.6521,1.619,1.593,1.5644,399.14,1.0134,2.597052344,2.447718033,0.117188182,-0.0067142,-0.205674232,0.001822161
0.8628,1.1357,1.2864,1.3989,1.5007,1.5977,1.7203,2.1024,2.0598,1.9949,1.935,1.8747,1.8217,1.7715,1.7259,1.6846,1.6492,1.615,1.5875,1.5652,401.94,1.1874,2.948194736,2.669887111,0.33358389,-0.247915049,0.011715083,-0.192779908
0.8648,1.1365,1.287,1.398,1.4964,1.5946,1.7273,2.0938,2.0594,1.9916,1.9325,1.8685,1.8182,1.7673,1.7196,1.6791,1.6405,1.6108,1.5826,1.5588,397.97,1.508,3.340708619,2.988300105,0.221556288,-0.080124588,0.011715083,-0.285094698
